pk,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.008809768,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
fl oz (Imp),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.0000284,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
ml,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.000001,93a60a57-a3c8-12da-a746-0800200c9a66,mL,,,,,,,
bl (US fl),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.11,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
gal (Imp),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.00455,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
bsh (Imp),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.03,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
bbl,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.15,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
bl (Imp),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.16,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
yd3,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.76,93a60a57-a3c8-12da-a746-0800200c9a66,cu.yd,,,,,,,
pt (US dry),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.000551,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
bl (US beer),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.11,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
cl,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.00001,93a60a57-a3c8-12da-a746-0800200c9a66,cL,,,,,,,
l,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.001,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
pt (Imp),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.000568,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
gal (US dry),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.0044,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
min,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.0000000616,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
ul,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.000000001,93a60a57-a3c8-12da-a746-0800200c9a66,µl,µL,,,,,,
hl,93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.1,93a60a57-a3c8-12da-a746-0800200c9a66,hL,,,,,,,
qt (US liq),93a60a56-a3c8-22da-a746-0800200c9a66,Volume,0.000946353,93a60a57-a3c8-12da-a746-0800200c9a66,None,,,,,,,
mm*m2,45915a2c-6ee8-45bd-8a46-070a7261558e,Groundwater Replenishment (Occ.),1,36932b14-ba61-417b-a80c-eb9935d193f1,None,,,,,,,
(cmol*m2*a)/kg,8a9107c2-62a2-4997-95b0-6944c80b774e,Physicochemical Filtration (Occ.),1,a6941776-ee4b-40fe-9a05-e19faac45240,None,,,,,,,
kt*km,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),1000,838aaa21-0117-11db-92e3-0800200c9a66,ktkm,,,,,,,
t*km,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),1,838aaa21-0117-11db-92e3-0800200c9a66,tkm,ton*km,metric ton*km,,,,,
t*mi,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),1.6,838aaa21-0117-11db-92e3-0800200c9a66,None,,,,,,,
lb*mi,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),0.00073,838aaa21-0117-11db-92e3-0800200c9a66,None,,,,,,,
t*nmi,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),1.85,838aaa21-0117-11db-92e3-0800200c9a66,None,,,,,,,
t*mi,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),1.45,838aaa21-0117-11db-92e3-0800200c9a66,tmi*,,,,,,,
kg*km,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),0.001,838aaa21-0117-11db-92e3-0800200c9a66,kgkm,kgkm,,,,,,
lb*nmi,838aaa20-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),0.00084,838aaa21-0117-11db-92e3-0800200c9a66,None,,,,,,,
Items*km,0ddc622a-bc4a-4cf8-a551-9e112864b77f,Items*Length,1,5454b231-270e-45e6-89b2-7f4f3e482245,None,,,,,,,
Items*nmi,0ddc622a-bc4a-4cf8-a551-9e112864b77f,Items*Length,1.85,5454b231-270e-45e6-89b2-7f4f3e482245,None,,,,,,,
Items*mi,0ddc622a-bc4a-4cf8-a551-9e112864b77f,Items*Length,1.6,5454b231-270e-45e6-89b2-7f4f3e482245,None,,,,,,,
kWh/m2*d,e2f7001e-a331-4fc7-8052-c0b9bcf6a05f,Energy/area*time,1,876adcd3-29e6-44e2-acdd-11be304ae654,kWh/m2*d,kWh/m2d,kWh/m²d,,,,,
p*mi,8766e10f-9f41-4db0-8173-ad0d002a5b98,Person transport,1.6,11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7,pmi,,,,,,,
p*km,8766e10f-9f41-4db0-8173-ad0d002a5b98,Person transport,1,11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7,pkm,personkm,,,,,,
in,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.02,838aaa22-0117-11db-92e3-0800200c9a66,inch,,,,,,,
hm,838aaa23-0117-11db-92e3-0800200c9a66,Length,100,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
fur,838aaa23-0117-11db-92e3-0800200c9a66,Length,201.168,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
ch,838aaa23-0117-11db-92e3-0800200c9a66,Length,20.1168,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
nmi,838aaa23-0117-11db-92e3-0800200c9a66,Length,1852,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
h,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.1016,838aaa22-0117-11db-92e3-0800200c9a66,hh,,,,,,,
ftm,838aaa23-0117-11db-92e3-0800200c9a66,Length,1.8288,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
dm,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.1,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
m,838aaa23-0117-11db-92e3-0800200c9a66,Length,1,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
mi,838aaa23-0117-11db-92e3-0800200c9a66,Length,1609.34,838aaa22-0117-11db-92e3-0800200c9a66,mile,,,,,,,
km,838aaa23-0117-11db-92e3-0800200c9a66,Length,1000,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
u,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.000001,838aaa22-0117-11db-92e3-0800200c9a66,µm,um,,,,,,
dam,838aaa23-0117-11db-92e3-0800200c9a66,Length,10,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
yd,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.91,838aaa22-0117-11db-92e3-0800200c9a66,yard,,,,,,,
mm,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.001,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
cm,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.01,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
ft,838aaa23-0117-11db-92e3-0800200c9a66,Length,0.3,838aaa22-0117-11db-92e3-0800200c9a66,None,,,,,,,
v*km,ecbe0a5d-f397-4b74-993d-32d231e4bcf9,Vehicle transport,1,af16ae7e-3e04-408a-b8ae-5b3666dbe7f9,vkm,,,,,,,
mm2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,0.000001,93a60a57-a3c8-18da-a746-0800200c9a66,None,,,,,,,
mi2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,2589988.11,93a60a57-a3c8-18da-a746-0800200c9a66,mi²,sq.mi,,,,,,
m2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,1,93a60a57-a3c8-18da-a746-0800200c9a66,m²,,,,,,,
nmi2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,3429904,93a60a57-a3c8-18da-a746-0800200c9a66,None,,,,,,,
cm2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,0.0001,93a60a57-a3c8-18da-a746-0800200c9a66,None,,,,,,,
yd2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,0.83,93a60a57-a3c8-18da-a746-0800200c9a66,sq.yd,,,,,,,
ac,93a60a56-a3c8-19da-a746-0800200c9a66,Area,4046.85,93a60a57-a3c8-18da-a746-0800200c9a66,acre (US),acre,,,,,,
km2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,1000000,93a60a57-a3c8-18da-a746-0800200c9a66,km²,,,,,,,
ft2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,0.09,93a60a57-a3c8-18da-a746-0800200c9a66,ft²,sq.ft,,,,,,
in2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,0.000645,93a60a57-a3c8-18da-a746-0800200c9a66,sq.in,,,,,,,
dm2,93a60a56-a3c8-19da-a746-0800200c9a66,Area,0.01,93a60a57-a3c8-18da-a746-0800200c9a66,None,,,,,,,
ha,93a60a56-a3c8-19da-a746-0800200c9a66,Area,10000,93a60a57-a3c8-18da-a746-0800200c9a66,None,,,,,,,
a,93a60a56-a3c8-19da-a746-0800200c9a66,Area,100,93a60a57-a3c8-18da-a746-0800200c9a66,None,,,,,,,
m2*d,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,0.00274,93a60a57-a3c8-20da-a746-0800200c9a66,None,,,,,,,
cm2a,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,0.0001,93a60a57-a3c8-20da-a746-0800200c9a66,None,,,,,,,
mi2*a,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,2589988.1,93a60a57-a3c8-20da-a746-0800200c9a66,mi²*a,mi2a,mi²a,mi2*year,mi²year,mi²*year,,
ha*a,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,10000,93a60a57-a3c8-20da-a746-0800200c9a66,ha a,,,,,,,
mm2a,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,0.000001,93a60a57-a3c8-20da-a746-0800200c9a66,None,,,,,,,
m2*a,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,1,93a60a57-a3c8-20da-a746-0800200c9a66,m²*a,m2a,m²a,m2*a,m²*year,m2year,m²year,m2*year
km2*a,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,1000000,93a60a57-a3c8-20da-a746-0800200c9a66,km²*a,km2a,km²a,km2a,km²*year,km2year,km²year,
ft2*a,93a60a56-a3c8-21da-a746-0800200c9a66,Area*time,0.09,93a60a57-a3c8-20da-a746-0800200c9a66,ft²*a,ft²a,ft2a,,,,,
Dozen(s),01846770-4cfe-4a25-8ad9-919d8d378345,Number of items,12,5beb6eed-33a9-47b8-9ede-1dfe8f679159,None,,,,,,,
Item(s),01846770-4cfe-4a25-8ad9-919d8d378345,Number of items,1,5beb6eed-33a9-47b8-9ede-1dfe8f679159,unit,LU,pig place,p,,,,
cm*m3,e0d963f9-d6a4-42a5-90e9-fff8452aa2af,Mechanical Filtration (Occ.),1,59f6a0a2-731f-41c3-86df-d383dc673dfe,None,,,,,,,
cm*m2/d,05e42ba1-dbcd-4dc2-b735-a2f17dd211ae,Mechanical Filtration (Transf.),1,f2275057-f8be-4db9-bb78-5dfc276967a0,None,,,,,,,
LVL 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1.78,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
EEK 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.06,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
AUD 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.63,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
CAD 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.73,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
ISK 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.01,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
DKK 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.13,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
USD 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1.1,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,$,,,,,,,
SEK 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.12,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
JPY 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.01,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,Yen2000,,,,,,,
ZAR 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.15,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
CHF 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.64,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
USD 2002,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1.29,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,$,,,,,,,
NOK 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.12,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
EUR 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
GBP 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1.65,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
M$ 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1100000,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
CHF 2005,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1.12,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
KRW 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.00095,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
LTL 2000,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",0.27,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
EUR 2003,fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27,"Market value, bulk prices",1.25,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,None,,,,,,,
